latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.43517,-75.59569,323.6,0.39,0.44,2025-01-13,0629,N20,nominal,2.0NRT,267.78,2.14,N
23.08642,-81.27223,307.76,0.48,0.48,2025-01-13,0635,N20,nominal,2.0NRT,291.15,1.2,N
41.43834,-75.59781,317.54,0.39,0.44,2025-01-13,0629,N20,nominal,2.0NRT,266.5,2.12,N
22.88769,-82.74165,307.52,0.59,0.53,2025-01-13,0635,N20,nominal,2.0NRT,290.14,1.86,N
22.6545,-81.23954,303.15,0.47,0.48,2025-01-13,0635,N20,nominal,2.0NRT,289.4,0.79,N
41.39508,-75.73869,295.48,0.39,0.44,2025-01-13,0629,N20,nominal,2.0NRT,267.8,1.1,N
22.68768,-81.9677,308.76,0.53,0.5,2025-01-13,0635,N20,nominal,2.0NRT,290.3,1.85,N
41.68292,-87.42318,298.38,0.79,0.78,2025-01-13,0629,N20,nominal,2.0NRT,269.24,1.67,N
22.68711,-81.96257,319.87,0.53,0.5,2025-01-13,0635,N20,nominal,2.0NRT,290.35,1.85,N
41.64139,-87.1457,323.76,0.76,0.77,2025-01-13,0629,N20,nominal,2.0NRT,268.19,5.52,N
22.18586,-78.74562,317.53,0.5,0.41,2025-01-13,0635,N20,nominal,2.0NRT,289.98,2.39,N
41.68209,-87.42805,306.48,0.79,0.78,2025-01-13,0629,N20,nominal,2.0NRT,267.61,3.4,N
22.26284,-80.87653,306.18,0.44,0.46,2025-01-13,0635,N20,nominal,2.0NRT,290.98,0.84,N
41.63927,-87.14095,320.76,0.76,0.77,2025-01-13,0629,N20,nominal,2.0NRT,267.26,6.56,N
22.18718,-80.53233,307.21,0.42,0.45,2025-01-13,0635,N20,nominal,2.0NRT,290.88,0.91,N
41.63926,-87.15051,296.73,0.76,0.77,2025-01-13,0629,N20,nominal,2.0NRT,266.44,4.72,N
21.80975,-79.95023,311.22,0.39,0.44,2025-01-13,0635,N20,nominal,2.0NRT,291.62,0.65,N
37.54448,-79.27339,300.24,0.54,0.51,2025-01-13,0631,N20,nominal,2.0NRT,265.23,1.78,N
21.5163,-78.13809,328.08,0.46,0.39,2025-01-13,0635,N20,nominal,2.0NRT,291.58,2.44,N
34.9848,-78.46679,298.99,0.46,0.47,2025-01-13,0631,N20,nominal,2.0NRT,269.4,0.49,N
21.5157,-78.13363,323.35,0.46,0.39,2025-01-13,0635,N20,nominal,2.0NRT,291.43,2.44,N
28.47129,-80.54049,319.27,0.5,0.49,2025-01-13,0633,N20,nominal,2.0NRT,283.66,2.46,N
21.51329,-78.14313,321.8,0.46,0.39,2025-01-13,0635,N20,nominal,2.0NRT,291.14,2.77,N
27.45155,-81.02376,296.32,0.52,0.5,2025-01-13,0633,N20,nominal,2.0NRT,280.17,0.81,N
21.51269,-78.13866,317.37,0.46,0.39,2025-01-13,0635,N20,nominal,2.0NRT,291.24,2.44,N
27.44694,-81.02437,298.43,0.52,0.5,2025-01-13,0633,N20,nominal,2.0NRT,281.09,1.09,N
20.98598,-77.00831,313.4,0.41,0.37,2025-01-13,0635,N20,nominal,2.0NRT,289.89,1.31,N
26.45392,-77.07829,297.48,0.47,0.39,2025-01-13,0633,N20,nominal,2.0NRT,286.76,0.51,N
20.28995,-74.94673,300.3,0.38,0.36,2025-01-13,0635,N20,nominal,2.0NRT,289.61,0.41,N
26.28006,-80.15479,313.75,0.45,0.47,2025-01-13,0633,N20,nominal,2.0NRT,285.34,1.17,N
20.21719,-74.98169,320.3,0.38,0.36,2025-01-13,0635,N20,nominal,2.0NRT,290.83,1.14,N
18.92376,-71.64796,301.72,0.49,0.4,2025-01-13,0635,N20,nominal,2.0NRT,290.31,0.68,N
25.85912,-80.34639,301.95,0.46,0.47,2025-01-13,0633,N20,nominal,2.0NRT,286.14,0.74,N
20.34726,-89.42493,314.46,0.75,0.77,2025-01-13,0635,N20,nominal,2.0NRT,291.24,2.01,N
20.35037,-89.4255,317.21,0.75,0.77,2025-01-13,0637,N20,nominal,2.0NRT,291.09,2.54,N
25.86155,-80.34418,300.84,0.46,0.47,2025-01-13,0633,N20,nominal,2.0NRT,285.44,0.83,N
17.966,-76.72949,305.09,0.39,0.36,2025-01-13,0637,N20,nominal,2.0NRT,295.03,0.66,N
24.67631,-78.0388,303.59,0.49,0.41,2025-01-13,0635,N20,nominal,2.0NRT,288.36,0.82,N
24.67322,-78.04426,300.11,0.49,0.41,2025-01-13,0635,N20,nominal,2.0NRT,287.99,0.64,N
24.66698,-78.02536,318.76,0.49,0.41,2025-01-13,0635,N20,nominal,2.0NRT,289.54,2.64,N
24.66326,-78.02594,302.39,0.49,0.41,2025-01-13,0635,N20,nominal,2.0NRT,288.68,1.12,N
24.6608,-78.03627,300.48,0.49,0.41,2025-01-13,0635,N20,nominal,2.0NRT,287.91,0.72,N
24.66017,-78.03139,303.47,0.49,0.41,2025-01-13,0635,N20,nominal,2.0NRT,289.3,1.12,N
20.38455,-99.69193,295.78,0.39,0.36,2025-01-13,0817,N20,nominal,2.0NRT,273.76,0.77,N
20.58259,-101.17161,298.97,0.39,0.36,2025-01-13,0817,N20,nominal,2.0NRT,280.18,0.74,N
